Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene13334	TMEM207	9	+	13961575	13965709	0.000000	0.000000	0.000000
gene13335	CLDN16	9	-	13969562	13979748	0.124430	0.031660	0.076863
gene13336	CLDN1	9	+	13990203	14000684	1803.587280	458.898895	1114.115356
gene13337	LEPREL1	9	+	14031223	14090947	4.010354	15.697126	38.109509
gene13338	TP63	9	-	14092020	14188359	1.029662	0.712335	1.729407
gene13339	LOC101751159	9	-	14246890	14285133	0.111248	0.033200	0.080602
gene13340	LOC107054100	9	-	14285227	14305903	0.090900	0.023216	0.056364
gene13341	LOC107054098	9	-	14356061	14367745	0.333779	0.084926	0.206183
gene13342	MIR1653	9	-	14383845	14383948	21.009615	5.518875	13.398734
gene13343	LPP	9	-	14389180	14697383	3.407178	2.396490	5.818202
gene13344	LOC107054099	9	+	14524669	14525414	0.000000	0.000000	0.000000
gene13346	LOC107054097	9	-	14818365	14830258	0.520801	0.132511	0.321710
gene13347	BCL6	9	+	14830563	14846808	56.718407	15.119092	36.706154
gene13348	SST	9	+	14852440	14853973	0.441826	0.112417	0.272926
gene13350	MASP1	9	+	14910273	14927976	0.144683	0.042359	0.102840
gene13351	LOC101751236	9	-	14931438	14933441	0.178748	0.045480	0.110417
gene13352	PDCD1	9	-	14938213	14942676	0.000000	0.000000	0.000000
gene13353	RP11-447L10.1	9	+	14945323	14949655	16.502172	4.198759	10.193753
gene13354	PCYT1A	9	+	14949055	14968791	17.896921	8.657417	21.018492
gene13355	SLC51A	9	-	14968948	14971146	0.000000	0.000000	0.000000
gene13356	LOC100857766	9	+	14971520	14974517	0.000000	0.000000	0.000000
gene13357	TFRC	9	+	14982263	14996791	53.830433	14.256500	34.611950
gene13358	TNK2	9	+	14998706	15018290	37.040333	21.707472	52.701431
gene13359	MUC4	9	+	15018991	15035107	0.549395	0.144055	0.349737
gene13360	LOC424917	9	-	15034833	15044583	0.656872	0.167132	0.405764
gene13361	LOC424918	9	-	15047568	15052301	59.150787	15.050134	36.538738
gene13362	LOC424919	9	+	15052215	15057282	22.109785	5.783269	14.040628
gene13363	KIAA0226	9	-	15056066	15083766	67.553795	17.847715	43.330711
gene13364	FYTTD1	9	+	15083884	15097333	116.523415	31.276882	75.934059
gene13365	LRCH3	9	+	15098472	15150952	23.883816	9.101027	22.095486
gene13366	IQCG	9	-	15152268	15170410	1.621924	0.412677	1.001898
gene13367	RPL35A	9	+	15170655	15173495	383.188873	97.497330	236.704147
gene13368	LOC107054074	9	+	15173298	15176771	0.000000	0.000000	0.000000
gene13369	C9H2ORF72	9	+	15178767	15183752	3.870792	0.984871	2.391072
gene13370	PSMD1	9	+	15184041	15245489	377.974854	96.170692	233.483337
gene13371	HTR2B	9	-	15205069	15214131	0.000000	0.000000	0.000000
gene13372	MIR6558	9	+	15205927	15206048	0.000000	0.000000	0.000000
gene13373	ARMC9	9	+	15251958	15308917	7.283489	1.925197	4.673997
gene13374	B3GNT7	9	+	15316884	15321780	4.112205	1.838121	4.462592
gene13375	NCL	9	-	15322922	15330360	878.817505	223.603470	542.864807
gene13376	SNORD20	9	-	15324645	15324726	0.000000	0.000000	0.000000
gene13377	NMUR1	9	-	15334708	15348078	0.187278	0.051374	0.124727
gene13378	PTMA	9	+	15373325	15381466	541.143738	137.686844	334.276337
gene13379	PDE6D	9	-	15387336	15417612	111.722855	28.426399	69.013657
gene13380	LOC107054075	9	+	15392862	15415696	0.598692	0.152329	0.369825
gene13381	COPS7B	9	+	15417827	15439075	16.308594	16.802797	40.793854
gene13382	LOC101748596	9	-	15431274	15441962	3.775574	0.960645	2.332255
gene13383	DIS3L2	9	+	15447935	15611897	25.257713	6.426490	15.602243
gene13384	ALPI	9	+	15612001	15615923	0.875455	0.223077	0.541587
gene13385	ALPP	9	+	15616383	15619474	0.512233	0.130331	0.316418
gene13386	ECEL1	9	-	15619330	15628604	0.192233	0.048911	0.118747
gene13387	SLC12A9	9	-	15630113	15640881	57.026459	14.509627	35.226494
gene13388	PRSS56	9	+	15642368	15648082	0.116454	0.029630	0.071936
gene13389	CHRND	9	+	15648682	15651873	0.334779	0.085180	0.206800
gene13390	CHRNG	9	+	15652614	15656719	0.086551	0.022022	0.053464
gene13391	EIF4E2	9	-	15660337	15678809	180.399658	53.773888	130.552322
gene13392	LOC107054096	9	+	15660824	15669816	2.845089	0.723895	1.757474
gene13393	MIR1755	9	-	15664206	15664296	0.000000	0.000000	0.000000
gene13394	CYP2J6L2	9	-	15687933	15717973	0.349662	0.108547	0.263529
gene13395	CYP2J6L3	9	-	15687982	15698720	4.293299	1.092373	2.652065
gene13396	CYP2J6L1	9	-	15718500	15723734	1.310606	0.333466	0.809590
gene13397	CYP2J2L5	9	-	15729531	15732036	61.345222	15.608479	37.894287
gene13398	LOC107054077	9	-	15732585	15738389	37.808796	9.619946	23.355322
gene13399	CYP2J2L6	9	+	15734115	15744267	21.521507	5.475862	13.294307
gene13400	CAPN10	9	-	15744160	15756087	47.806702	12.601517	30.593981
gene13401	RNPEPL1	9	-	15759187	15773173	81.859550	22.321701	54.192657
gene13402	LOC107054095	9	+	15773275	15775919	62.746185	15.964936	38.759693
gene13403	ABCC5	9	-	15775997	15813428	78.676048	34.064739	82.702423
gene13404	EIF2B5	9	+	15818516	15838063	74.642906	25.939501	62.975956
gene13405	DVL3	9	+	15838244	15864860	37.696800	50.675011	123.028870
gene13406	AP2M1	9	+	15866340	15889113	1066.061157	282.759613	686.484192
gene13407	ABCF3	9	+	15889765	15897463	182.012817	46.310749	112.433304
gene13408	LOC101747338	9	+	15897667	15902185	103.442375	26.347063	63.965439
gene13409	VWA5B2	9	+	15904571	15914053	39.838200	13.534384	32.858799
gene13410	ALG3	9	-	15914293	15916833	72.538879	20.978928	50.932674
gene13411	LOC431092	9	+	15916789	15920803	15.379710	3.913163	9.500383
gene13412	CAMK2N2	9	-	15921785	15924042	21.135958	5.377764	13.056144
gene13413	MUL1L	9	-	15927059	15929860	54.677738	14.276372	34.660198
gene13414	ECE2	9	-	15929957	15936806	31.351217	8.219396	19.955061
gene13415	PSMD2	9	+	15937673	15943390	478.108582	121.648392	295.338135
gene13416	EIF4G1	9	+	15944071	15962141	257.422943	84.291718	204.643570
gene13417	FAM131A	9	+	15963382	15968178	0.584475	0.160010	0.388472
gene13418	LOC770345	9	+	15968276	15969660	0.671633	0.170888	0.414882
gene13419	CLCN2	9	-	15969621	15980458	0.206364	0.055510	0.134768
gene13420	CHRD	9	-	15981152	15989729	1.210579	0.312805	0.759429
gene13421	THPO	9	+	15990026	15995728	0.370860	0.114616	0.278266
gene13422	POLR2H	9	-	15996145	15998086	160.007828	48.152863	116.905586
gene13423	EPHB3	9	-	16011685	16033878	11.597836	2.976742	7.226937
gene13424	LOC107054092	9	+	16036111	16039854	0.122001	0.031042	0.075363
gene13425	LOC101747448	9	-	16044138	16050624	0.000000	0.000000	0.000000
gene13426	LOC107054090	9	-	16087902	16103254	0.062426	0.015883	0.038562
gene13427	SENP5	9	-	16110266	16129893	57.600040	17.047386	41.387669
gene13428	LOC107054091	9	-	16134513	16247358	0.169707	0.287944	0.699071
gene13429	AHSG	9	+	16183716	16190209	0.000000	0.000000	0.000000
gene13430	FETUB	9	+	16195540	16202808	0.066396	0.016894	0.041014
gene13431	HRG	9	+	16205205	16216610	0.194600	0.049513	0.120209
gene13432	KNG1	9	+	16218786	16236170	0.114548	0.029145	0.070759
gene13433	MIR6617	9	-	16236774	16236883	0.000000	0.000000	0.000000
gene13434	EIF4A2	9	+	16247458	16254388	1315.052490	352.205505	855.085083
gene13435	RFC4	9	-	16254610	16265469	89.227753	23.550716	57.176464
gene13436	MCF2L2	9	+	16272305	16419658	0.650263	0.490077	1.189810
gene13437	B3GNT5	9	-	16350048	16368556	5.473980	4.980148	12.090810
gene13438	LAMP3	9	+	16417903	16436617	2.887078	0.895478	2.174042
gene13439	MCCC1	9	+	16440040	16455956	41.326508	10.514981	25.528290
gene13440	DCUN1D1	9	+	16461933	16479137	58.474468	14.878053	36.120960
gene13441	ATP11B	9	-	16480427	16580464	37.496510	15.641846	37.975296
gene13443	LOC107054087	9	-	16888816	16914462	0.687260	0.174864	0.424536
gene13444	SOX2	9	-	16918090	16919272	0.507185	0.129046	0.313299
gene13445	DNAJC19	9	+	17135426	17139380	59.255116	15.292828	37.127949
gene13446	FXR1	9	-	17141185	17171940	145.005463	38.430611	93.301895
gene13447	LOC101749252	9	-	17214375	17222202	0.559760	0.149893	0.363910
gene13448	CCDC39	9	+	17221543	17238672	0.309639	0.078784	0.191271
gene13449	TTC14	9	-	17238818	17247930	19.794136	5.036355	12.227271
gene13450	PEX5L	9	+	17335737	17429168	0.050017	0.012726	0.030897
gene13451	USP13	9	-	17437022	17477511	8.285608	2.108163	5.118202
gene13452	NDUFB5	9	-	17478949	17482493	343.131012	87.305138	211.959534
gene13453	MRPL47	9	+	17482588	17485745	103.996117	26.460432	64.240677
gene13454	ACTL6A	9	-	17486959	17496486	97.424194	24.788298	60.181061
gene13455	GNB4	9	+	17497509	17559370	17.020721	35.591915	86.410103
gene13456	MFN1	9	-	17559904	17580666	78.914436	27.606880	67.024025
gene13457	ZNF639	9	-	17582088	17586552	37.030453	9.421908	22.874521
gene13458	PIK3CA	9	-	17595691	17617302	34.448128	8.764869	21.279364
gene13459	ZMAT3	9	+	17628231	17641709	35.304905	8.982865	21.808613
gene13460	LOC107054084	9	+	17650593	17666534	0.059488	0.015151	0.036783
gene13461	RP11-385J1.3	9	-	17664973	17782230	0.772421	0.397969	0.966191
gene13462	LOC107054083	9	+	17666991	17676542	0.000000	0.000000	0.000000
gene13464	LOC101747450	9	+	17914067	17934221	0.000000	0.000000	0.000000
gene13465	LOC107054081	9	+	17951669	17964201	0.081630	0.020770	0.050425
gene13466	LOC101750383	9	+	17966088	17974562	0.289436	0.073643	0.178791
gene13467	LOC107054080	9	-	17987645	17990945	1.959530	0.498576	1.210445
gene13468	TBL1XR1	9	+	17990380	18081131	5.616786	10.555572	25.626833
gene13469	LOC107054079	9	+	18139079	18206120	0.025455	0.107385	0.260710
gene13470	LOC107054117	9	+	18232083	18273296	0.872856	0.257150	0.624309
gene13471	LOC107054119	9	-	18244039	18321006	0.076263	0.022810	0.055379
gene13472	LOC107054118	9	+	18273332	18277523	0.433981	0.110421	0.268080
gene13473	NAALADL2	9	-	18399365	18686028	2.134810	0.546590	1.327012
gene13474	LOC101750964	9	-	18798149	18805079	0.211119	0.053716	0.130413
gene13475	NLGN1	9	-	18809663	19157393	5.694106	1.637776	3.976196
gene13476	SPATA16	9	+	19213109	19298883	0.000000	0.000000	0.000000
gene13477	ECT2	9	-	19307478	19334649	27.096304	6.988459	16.966589
gene13478	NCEH1	9	+	19337307	19356726	274.891113	69.942398	169.806259
gene13479	LOC107054121	9	-	19337715	19350488	3.419722	0.870103	2.112437
gene13480	LOC107054120	9	-	19352749	19373214	1.173853	0.310006	0.752634
gene13481	TNFSF10	9	+	19373372	19382094	39.557259	16.182919	39.288910
gene13482	GHSR	9	+	19382188	19392616	2.462288	0.956663	2.322587
gene13483	FNDC3B	9	-	19396205	19543328	124.711365	32.337536	78.509125
gene13484	PLD1	9	+	19592338	19640227	20.303791	16.173021	39.264889
gene13485	TNIK	9	+	19651440	19785892	28.654724	9.232444	22.414541
gene13486	LOC107054123	9	-	19672379	19677828	0.213068	0.054212	0.131617
gene13487	SLC2A2	9	+	19787751	19795457	0.812819	0.206811	0.502096
gene13488	EIF5A2	9	+	19798183	19805173	268.782257	72.491959	175.996063
gene13489	RPL22L1	9	+	19805357	19807352	107.981552	27.474476	66.702568
gene13490	LOC107054122	9	-	19813515	19832587	0.042369	0.010780	0.026172
gene13491	SLC7A14	9	+	19836452	19861940	0.645283	0.164184	0.398605
gene13492	CLDN11	9	-	19861751	19870123	4.964153	1.263063	3.066466
gene13493	SKIL	9	-	19875560	19887085	35.184414	8.952208	21.734182
gene13494	LOC107054124	9	+	19887137	19892953	1.569010	0.399214	0.969212
gene13495	PRKCI	9	-	19891353	19914309	164.875671	42.482483	103.139030
gene13496	PHC3	9	+	19917464	19958755	6.007146	2.311888	5.612804
gene13497	GPR160	9	-	19948546	19952022	0.430398	0.130122	0.315911
gene13498	SEC62	9	-	19957863	19973557	171.237167	43.569027	105.776947
gene13499	LOC107054125	9	+	19959428	19960999	1.692793	0.430709	1.045675
gene13500	LRRC31	9	+	19973662	20011713	8.593875	2.456626	5.964199
gene13501	SAMD7	9	-	19978415	19994878	0.338025	0.086006	0.208805
gene13502	LRRC34	9	+	20011826	20031471	0.459890	0.429599	1.042982
gene13503	LRRIQ4	9	-	20014560	20019624	0.000000	0.000000	0.000000
gene13504	MYNN	9	-	20030372	20041146	21.076927	5.362745	13.019680
gene13506	LOC107054110	9	-	20042181	20042885	0.211347	0.053774	0.130554
gene13507	TERC	9	+	20042212	20042676	0.000000	0.000000	0.000000
gene13508	MECOM	9	+	20062888	20364546	0.013959	0.062609	0.152003
gene13509	LOC107054130	9	-	20064466	20067753	0.000000	0.000000	0.000000
gene13510	LOC107054129	9	-	20128030	20141976	0.000000	0.000000	0.000000
gene13511	LOC107054128	9	-	20343576	20353485	0.054093	0.027726	0.067314
gene13512	LOC424998	9	-	20358799	20564223	0.274823	0.184610	0.448196
gene13513	MIR551B	9	-	20500004	20500116	0.000000	0.000000	0.000000
gene13514	GOLIM4	9	+	20587644	20609047	53.027279	13.492088	32.756111
gene13515	LOC107049011	9	+	20610088	20625264	90.642014	23.062658	55.991558
gene13516	LOC425001	9	-	20641351	20650821	0.071158	0.018105	0.043956
gene13517	SERPINI1	9	-	20659418	20700320	140.507355	69.819977	169.509033
gene13518	PDCD10	9	+	20700565	20712089	104.651176	53.787281	130.584839
gene13519	ZBBX	9	+	20760642	20775007	0.219163	0.056134	0.136282
gene13521	LOC107054112	9	+	20902259	20923712	0.183211	0.066269	0.160888
gene13522	LOC107054132	9	+	20938630	20962206	0.000000	0.000000	0.000000
gene13523	BCHE	9	+	21043977	21090156	20.285524	17.650217	42.851223
gene13524	LOC107054133	9	+	21163764	21205153	14.360934	3.961791	9.618442
gene13525	LOC107054134	9	-	21163808	21168522	0.086108	0.021909	0.053191
gene13526	LOC101749272	9	-	21172987	21175838	1.318665	0.335517	0.814568
gene13527	SLITRK3	9	+	21207328	21215320	16.586010	4.220090	10.245542
gene13528	SI	9	+	21250754	21295745	0.140262	0.035688	0.086643
gene13529	LOC101749407	9	-	21295847	21460845	0.000000	0.000000	0.000000
gene13530	LOC107054136	9	+	21328958	21337231	0.000000	0.000000	0.000000
gene13535	LOC107054137	9	-	21884591	21911986	0.014571	0.003707	0.009001
gene13536	LOC107054138	9	-	21931066	22022228	0.044984	0.011446	0.027788
gene13537	OTOL1	9	-	22024777	22030356	0.411603	0.104727	0.254256
gene13538	SPTSSB	9	+	22040499	22049330	0.227713	0.111013	0.269518
gene13539	NMD3	9	+	22060066	22069650	57.326172	14.585884	35.411633
gene13540	SPTSSBL	9	-	22078351	22085964	0.405680	0.125751	0.305299
gene13541	PPM1L	9	+	22099476	22189378	10.564276	2.687940	6.525784
gene13542	LOC425011	9	-	22188601	22212457	3.659636	1.914792	4.648734
gene13543	LOC101749876	9	+	22195969	22198291	0.499354	0.127054	0.308462
gene13544	KPNA4	9	+	22212627	22235711	227.699997	57.935246	140.655273
gene13545	MIR1692	9	+	22226694	22226782	0.000000	0.000000	0.000000
gene13546	TRIM59	9	+	22240453	22247777	35.306988	16.252691	39.458309
gene13547	SMC4	9	-	22249740	22283219	14.121359	10.145840	24.632086
gene13548	MIR16-2	9	-	22276898	22276991	0.191489	0.208176	0.505409
gene13549	MIR15B	9	-	22277073	22277163	0.000000	0.000000	0.000000
gene13550	IFT80	9	+	22283319	22326593	14.009061	12.854147	31.207317
gene13551	TMEM40	9	+	22349677	22360453	5.537030	2.895293	7.029196
gene13552	IL12A	9	-	22362562	22364362	2.088235	0.531324	1.289948
gene13553	SCHIP1	9	-	22370693	22480008	64.167259	137.394791	333.567261
gene13554	LOC107054139	9	+	22382481	22384464	12.475410	3.174203	7.706334
gene13555	LOC101750745	9	+	22403476	22407740	18.202087	4.672742	11.344491
gene13556	MFSD1	9	-	22508479	22520544	44.028915	22.845341	55.463955
gene13558	RARRES1	9	+	22539919	22547409	28.519859	7.256500	17.617342
gene13559	GFM1	9	-	22547763	22568605	52.669373	13.401024	32.535023
gene13560	LXN	9	+	22553729	22558799	3.675415	1.184108	2.874780
gene13561	MLF1	9	-	22569500	22583743	14.119473	5.013321	12.171349
gene13562	LOC107054141	9	+	22583827	22592347	0.736139	0.187301	0.454729
gene13563	RSRC1	9	-	22593376	22706976	64.230133	16.342506	39.676357
gene13564	SHOX2	9	+	22707327	22712053	0.432768	0.110112	0.267330
gene13567	LOC101751877	9	-	22776117	22781506	1.625290	0.413534	1.003977
gene13568	C9H3ORF55	9	-	22781930	22795599	21.589100	7.906550	19.195534
gene13569	VEPH1	9	+	22799204	22858354	0.470645	0.310759	0.754461
gene13570	PTX3	9	-	22817320	22822292	5.310511	1.351189	3.280419
gene13571	CCNL1	9	+	22871063	22883503	105.633537	26.877054	65.252151
gene13572	LEKR1	9	-	22883734	22948999	10.306602	4.935989	11.983601
gene13573	TIPARP	9	-	22949717	22982627	258.601318	78.521088	190.633606
gene13574	SSR3	9	+	22982711	22986576	481.681091	122.557365	297.544952
gene13575	KCNAB1	9	-	22988087	23024699	1.859463	0.528731	1.283655
gene13576	GMPS	9	-	23031518	23052687	75.514679	20.979734	50.934635
gene13577	MIR1658	9	-	23035126	23035215	0.011111	0.011062	0.026857
gene13578	SLC33A1	9	+	23053603	23064186	79.329994	20.184465	49.003872
gene13579	C3ORF33	9	+	23065437	23069353	7.010836	1.783814	4.330747
gene13580	PLCH1	9	+	23070625	23134083	0.048872	0.030003	0.072841
gene13582	MME	9	-	23162941	23198332	6.688660	1.701841	4.131732
gene13583	GPR149	9	+	23201862	23283365	0.544638	0.697622	1.693688
gene13584	DHX36	9	+	23286918	23304304	173.273453	44.087128	107.034798
gene13585	ARHGEF26	9	-	23307547	23349903	47.443043	12.071253	29.306606
gene13586	RAP2B	9	-	23434357	23438559	59.107548	15.039132	36.512028
gene13587	P2RY1	9	-	23467276	23468931	33.933697	8.633980	20.961588
gene13588	LOC107054145	9	+	23469585	23473327	1.733333	0.441024	1.070718
gene13589	LOC107054144	9	-	23475656	23476992	1.630344	0.414819	1.007099
gene13590	MBNL1	9	-	23479274	23527453	183.685165	60.267265	146.316956
gene13591	LOC107054111	9	+	23521255	23522489	3.393044	0.863315	2.095958
gene13592	MIR1754	9	-	23541427	23541494	4.992647	2.352194	5.710659
gene13593	AADACL2	9	-	23543185	23553647	91.154259	33.899548	82.301369
gene13594	LOC101750073	9	-	23576176	23579729	13.691045	3.483505	8.457258
gene13595	IGSF10	9	+	23579908	23593406	48.732082	12.399233	30.102875
gene13596	MED12L	9	-	23593093	23694802	8.145113	2.142997	5.202771
gene13597	LOC101749756	9	+	23624733	23631212	0.249422	0.063462	0.154073
gene13598	P2RY13	9	+	23629487	23631212	0.000000	0.000000	0.000000
gene13599	GPR87	9	+	23636291	23648142	0.383063	0.097465	0.236626
gene13600	MIR1793	9	-	23640741	23640837	0.000000	0.000000	0.000000
gene13601	P2RY14	9	+	23655712	23662862	0.280255	0.071307	0.173120
gene13602	GPR171	9	+	23665062	23668072	0.517222	0.131600	0.319499
gene13603	RP11-166N6.3	9	+	23695472	23701304	1.281482	0.327255	0.794509
gene13604	LOC107054147	9	-	23699768	23700610	6.420835	1.633696	3.966290
gene13605	RP11-166N6.1	9	+	23701307	23713495	1.404944	0.509469	1.236889
gene13606	SIAH2	9	+	23714311	23719084	39.863224	10.142669	24.624386
gene13607	LOC107054148	9	-	23719026	23720667	0.000000	0.000000	0.000000
gene13608	FAM194A	9	+	23720895	23728690	0.432640	0.110080	0.267251
gene13609	MIR6556	9	-	23720897	23721002	0.000000	0.000000	0.000000
gene13610	LOC101750121	9	-	23728790	23733215	0.132174	0.033630	0.081647
gene13611	SELT	9	-	23733314	23738989	266.003296	67.681015	164.316055
gene13612	EIF2A	9	-	23739226	23752306	144.117630	36.668819	89.024620
gene13613	SERP1	9	+	23752479	23754292	508.248627	129.317123	313.956299
gene13614	TSC22D2	9	-	23756402	23780764	88.264114	22.899311	55.594982
gene13615	LOC107054149	9	-	23788588	23831168	0.838729	0.309989	0.752592
gene13616	LOC107054150	9	+	23813133	23822281	0.198010	0.050381	0.122315
gene13617	PFN2	9	+	23850630	23855814	563.417480	156.686508	380.403748
gene13618	RNF13	9	-	23859933	23888126	279.461029	71.105156	172.629196
gene13619	COMMD2	9	+	23888213	23893137	114.952400	65.742493	159.609726
gene13620	LOC107054154	9	-	23893542	23897774	0.831454	0.211552	0.513607
gene13621	WWTR1	9	+	23898405	23941957	67.843124	17.261784	41.908184
gene13622	TM4SF4	9	-	23946267	23950888	0.000000	0.000000	0.000000
gene13623	LOC107054155	9	-	23952514	23962705	0.000000	0.000000	0.000000
gene13624	LOC107054153	9	+	23964243	23971044	0.312668	0.079554	0.193142
gene13625	TM4SF1	9	+	23974046	23979142	6.415811	1.632418	3.963187
gene13626	TM4SF18	9	+	23982001	23990059	6.450934	1.641355	3.984883
gene13627	HPS3	9	-	23986409	24031336	3.181401	5.157792	12.522094
gene13628	CP	9	+	23993349	24010888	18.858130	4.798201	11.649080
gene13629	LOC425049	9	-	24033041	24039635	7.019111	1.785920	4.335858
gene13630	LOC107054152	9	+	24039805	24044348	3.783645	0.962698	2.337240
gene13631	GYG1	9	-	24044107	24059166	64.782921	26.613123	64.611382
gene13632	LOC107054156	9	+	24065999	24070511	0.201411	0.051246	0.124416
gene13633	LOC107054157	9	+	24074837	24081856	0.000000	0.000000	0.000000
gene13674	LOC101747894	10	-	519065	530609	0.000000	0.000000	0.000000
gene13676	LOC100857180	10	+	557546	561120	1.480590	0.376716	0.914593
gene13677	LOC107054161	10	+	564535	574276	0.777505	0.197826	0.480282
gene13678	LOC107054160	10	+	576588	587599	5.390614	1.381886	3.354944
gene13682	TRNAQ-CUG	10	-	625285	625356	0.375000	0.095414	0.231646
gene13685	TRNAQ-CUG	10	-	635352	635423	0.375000	0.095414	0.231646
gene13686	LOC107054168	10	+	635633	642242	0.000000	0.000000	0.000000
gene13687	TRNAG-UCC	10	-	643564	643635	1.557407	0.396262	0.962044
gene13689	LOC107054167	10	+	649264	655910	0.000000	0.000000	0.000000
gene13690	TRNAG-UCC	10	-	657232	657303	1.771296	0.450683	1.094168
gene13691	TRNAQ-CUG	10	-	661397	661468	0.750000	0.190828	0.463291
gene13693	TRNAG-UCC	10	-	669612	669683	0.200000	0.050887	0.123544
gene13696	LOC107054164	10	+	675366	677693	0.000000	0.000000	0.000000
gene13709	MZT2B	10	-	768983	777321	96.233505	24.485340	59.445541
gene13710	SHF	10	-	781228	797508	43.156273	11.177873	27.137655
gene13711	MIR1670	10	-	786645	786704	0.000000	0.000000	0.000000
gene13712	TRNAH-GUG	10	+	805737	805808	2.277778	0.579550	1.407033
gene13714	SLC28A2	10	+	806423	814542	0.000000	0.000000	0.000000
gene13715	ALPK3	10	-	814839	845155	5.255905	1.340941	3.255538
gene13716	LOC415336	10	+	850955	877925	29.463337	9.490284	23.040525
gene13717	ZNF592	10	+	892594	926411	22.211466	5.651413	13.720509
gene13718	SEC11A	10	+	927122	936282	227.012024	57.760201	140.230286
gene13719	NMB	10	+	946382	949692	1.063452	0.329040	0.798844
gene13720	DUOXA1	10	+	955061	960620	0.136861	0.034966	0.084891
gene13721	DUOXA1L	10	-	962730	970501	0.000000	0.000000	0.000000
gene13722	DUOX2	10	+	964790	992144	0.018086	0.004602	0.011172
gene13723	SORD	10	-	992555	1009459	26.822737	6.824690	16.568991
gene13724	RBPMS2	10	-	1024393	1045984	1.007075	0.667674	1.620979
gene13725	OAZ2	10	+	1064299	1073989	168.574341	42.891506	104.132057
gene13726	ZNF609	10	-	1075446	1111754	169.371170	43.831875	106.415092
gene13727	TRIP4	10	-	1112226	1140422	58.676716	14.929513	36.245892
gene13728	MIR6692	10	-	1126181	1126290	0.000000	0.000000	0.000000
gene13729	CTD-2116N17.1	10	+	1141713	1228638	11.387081	36.922615	89.640778
gene13730	KIAA0101	10	+	1141759	1142255	1.182262	0.300811	0.730309
gene13731	PPIB	10	+	1233263	1234514	3419.496826	870.045715	2112.298096
gene13732	SNX22	10	-	1234652	1236154	6.094318	1.614845	3.920523
gene13733	SNX1	10	-	1236575	1247377	424.409271	107.985313	262.166901
gene13734	PATL2	10	-	1248700	1254630	88.400032	23.320368	56.617222
gene13735	B2M	10	+	1254766	1256770	3962.778564	1049.761230	2548.612061
gene13736	C15ORF43	10	+	1256788	1261026	660.867859	168.149063	408.232544
gene13737	RPS17	10	-	1261984	1263972	2293.067383	583.440613	1416.477905
gene13738	RP11-152F13.10	10	-	1264586	1290292	14.049638	4.146568	10.067042
gene13739	AP3B2	10	-	1290817	1301813	12.091587	3.076544	7.469238
gene13740	MIR1688	10	-	1296883	1296953	0.000000	0.000000	0.000000
gene13741	LOC415324	10	-	1317799	1321178	0.216372	0.104850	0.254556
gene13742	NR2E3	10	+	1323001	1326683	0.217975	0.055461	0.134648
gene13743	MYO9A	10	-	1326968	1493016	15.663359	4.165138	10.112129
gene13744	SENP8	10	+	1493123	1496453	20.953342	5.363009	13.020320
gene13745	MIR6660	10	-	1503992	1504101	0.927273	0.285663	0.693533
gene13746	PKM	10	-	1506428	1523684	1126.367310	681.348083	1654.177856
gene13747	PARP6	10	+	1525555	1533579	45.284508	12.174729	29.557827
gene13748	RP11-106M3.5	10	-	1535316	1544989	27.735062	8.588664	20.851570
gene13749	RP11-106M3.2	10	-	1546322	1555575	151.100189	38.445442	93.337898
gene13750	ARIH1	10	+	1563315	1641774	128.229706	32.626350	79.210297
gene13751	BBS4	10	+	1613008	1647497	24.079479	6.126704	14.874422
gene13752	ADPGK	10	-	1649712	1661593	71.374016	18.311531	44.456757
gene13753	LOC101749321	10	+	1661698	1760622	0.446638	0.230774	0.560274
gene13754	NEO1	10	+	1760794	1941468	6.225380	1.598623	3.881140
gene13755	LOC107052155	10	-	1906729	1909815	0.000000	0.000000	0.000000
gene13757	HCN4	10	-	1953384	2050669	0.217482	0.055335	0.134343
gene13758	C10H15ORF60	10	+	2096887	2114997	0.141044	0.035887	0.087126
gene13759	NPTN	10	-	2113805	2160828	168.448868	52.950142	128.552429
gene13760	CD276	10	+	2175583	2184171	87.998116	22.816423	55.393742
gene13761	ZP3L2	10	+	2188098	2191117	0.000000	0.000000	0.000000
gene13762	C10H15ORF59	10	-	2199547	2207524	1.178512	0.321865	0.781425
gene13763	LOC415312	10	-	2247062	2255736	0.416319	0.105927	0.257169
gene13764	LOXL1	10	+	2256337	2265243	226.144409	57.539448	139.694351
gene13765	LOC107052142	10	-	2266148	2266763	0.000000	0.000000	0.000000
gene13766	LOC107052141	10	-	2266939	2267572	0.000000	0.000000	0.000000
gene13767	LOC107052140	10	-	2268111	2268680	0.448000	0.113988	0.276739
gene13768	LOC107052136	10	+	2269370	2270897	0.000000	0.000000	0.000000
gene13769	LOC107052154	10	+	2270899	2271861	92.673683	23.579590	57.246563
gene13770	MUC1	10	-	2272614	2277041	0.427048	0.108657	0.263797
gene13771	C10H15orf39	10	-	2277417	2283623	39.625591	10.082207	24.477596
gene13772	PPCDC	10	-	2292302	2312068	4.315724	3.068883	7.450638
gene13773	MIR6625	10	-	2314973	2315082	0.627273	0.210489	0.511025
gene13774	RPP25	10	+	2320313	2329035	4.712760	1.199099	2.911175
gene13775	COX5A	10	+	2324785	2329035	489.517212	124.551178	302.385529
gene13776	FAM219B	10	+	2329347	2331939	40.194572	10.226976	24.829067
